Date,Breakout Type,Strike Label,Entry Price,Peak Price,MFE %,MAE %,Time To Peak Min,Decay %,Elasticity,Gamma Eff,Expansion Quality Score,Peak Exhaustion Score,Expected Opportunity Score,Time To 50%,Time Above 50%,Hybrid Return %,Hybrid Capture Eff,Hybrid Retention Ratio,Hybrid Lost Profit,Trail 20 Return %,Trail 20 Capture Eff,Momentum Return %,Momentum Capture Eff,Volatility Regime,Trend Regime,Auction Archetype
2026-07-07,bearish,ATM-2,239.1,241.15,0.86,-26.41,6,27.04,2.907,0.004,32,100,0,,0,-8.47,-9.878,0.0,22.3,-19.31,-22.5268,-4.83,-5.6341,normal,mean_reverting,open_test_drive
2026-07-07,bearish,ATM-1,283.5,285.75,0.79,-24.46,6,25.06,2.691,0.003,33,100,0,,0,-8.13,-10.2444,0.0,25.3,-19.37,-24.4,-5.17,-6.5111,normal,mean_reverting,open_test_drive
2026-07-07,bearish,ATM,332.55,336.15,1.08,-23.15,6,23.98,3.671,0.005,34,100,0,,0,-8.18,-7.5556,0.0,30.8,-19.13,-17.675,-4.89,-4.5139,normal,mean_reverting,open_test_drive
2026-07-07,bearish,ATM+1,388.95,390.9,0.5,-22.29,6,22.68,1.7,0.002,34,100,0,,0,-8.2,-16.359,0.0,33.85,-19.6,-39.0923,-5.71,-11.3846,normal,mean_reverting,open_test_drive
2026-07-07,bearish,ATM+2,447.85,451.7,0.86,-21.19,6,21.86,2.915,0.004,35,100,0,,0,-7.51,-8.7403,0.0,37.5,-19.31,-22.4649,-4.67,-5.4286,normal,mean_reverting,open_test_drive
2026-07-07,bullish,ATM-2,439.5,441.7,0.5,-26.76,35,27.12,146.379,0.186,14,100,0,,0,-5.87,-11.7273,0.0,28.0,-19.6,-39.1545,-5.63,-11.25,normal,mean_reverting,open_test_drive
2026-07-07,bullish,ATM-1,374.9,377.2,0.61,-29.1,35,29.53,179.402,0.228,13,100,0,,0,-6.55,-10.6739,0.0,26.85,-19.51,-31.8,-5.72,-9.3261,normal,mean_reverting,open_test_drive
2026-07-07,bullish,ATM,315.85,317.9,0.65,-30.98,35,31.42,189.796,0.241,12,100,0,,0,-6.57,-10.122,0.0,22.8,-19.48,-30.0146,-6.38,-9.8293,normal,mean_reverting,open_test_drive
2026-07-07,bullish,ATM+1,263.55,265.9,0.89,-32.75,35,33.34,260.747,0.331,12,100,0,,0,-6.73,-7.5532,0.0,20.1,-19.29,-21.6298,-6.75,-7.5745,normal,mean_reverting,open_test_drive
2026-07-07,bullish,ATM+2,217.35,219.65,1.06,-35.33,35,36.01,309.444,0.393,12,100,0,,0,-7.32,-6.913,0.0,18.2,-19.15,-18.1,-7.2,-6.8043,normal,mean_reverting,open_test_drive
