Date,Breakout Type,Strike Label,Entry Price,Peak Price,MFE %,MAE %,Time To Peak Min,Decay %,Elasticity,Gamma Eff,Expansion Quality Score,Peak Exhaustion Score,Expected Opportunity Score,Time To 50%,Time Above 50%,Hybrid Return %,Hybrid Capture Eff,Hybrid Retention Ratio,Hybrid Lost Profit,Trail 20 Return %,Trail 20 Capture Eff,Momentum Return %,Momentum Capture Eff,Volatility Regime,Trend Regime,Auction Archetype
2026-02-27,bearish,ATM-2,69.55,85.85,23.44,-40.47,49,51.78,27.109,0.107,24,100,0,,0,-4.53,-0.1933,0.0,19.45,-6.02,-0.2571,-9.63,-0.411,normal,mean_reverting,open_test_drive
2026-02-27,bearish,ATM-1,86.85,106.0,22.05,-37.82,49,49.06,25.505,0.101,24,100,0,,0,-3.97,-0.1802,0.0,22.6,-5.81,-0.2637,-8.87,-0.4021,normal,mean_reverting,open_test_drive
2026-02-27,bearish,ATM,108.5,131.1,20.83,-35.99,49,47.03,24.093,0.095,25,100,0,,0,-3.92,-0.1881,0.0,26.85,-6.73,-0.323,-8.89,-0.427,normal,mean_reverting,open_test_drive
2026-02-27,bearish,ATM+1,133.55,160.05,19.84,-32.95,49,44.05,22.952,0.091,26,100,0,,0,-3.18,-0.1604,0.0,30.75,-7.24,-0.3649,-8.65,-0.4358,normal,mean_reverting,open_test_drive
2026-02-27,bearish,ATM+2,162.2,192.35,18.59,-29.84,49,40.84,21.501,0.085,28,100,0,,0,-2.59,-0.1393,0.0,34.35,-7.62,-0.41,-7.58,-0.408,normal,mean_reverting,open_test_drive
2026-03-02,bullish,ATM-2,183.5,184.0,0.27,-78.61,18,78.67,2.606,0.01,0,100,0,,0,-7.14,-26.2,0.0,13.6,-20.0,-73.4,-20.6,-75.6,normal,trending,open_test_drive
2026-03-02,bullish,ATM-1,146.9,146.95,0.03,-96.26,1,96.26,0.326,0.001,0,100,0,,0,-29.44,-865.0,0.0,43.3,-19.97,-586.8,-22.5,-661.0,normal,trending,open_test_drive
2026-03-02,bullish,ATM,114.3,114.7,0.35,-99.96,1,99.96,3.347,0.013,2,100,0,,0,-9.27,-26.5,0.0,11.0,-19.72,-56.35,-25.9,-74.0,normal,trending,open_test_drive
2026-03-02,bullish,ATM+1,86.0,86.3,0.35,-99.94,1,99.94,3.336,0.013,2,100,0,,0,-12.27,-35.1667,0.0,10.85,-19.72,-56.5333,-28.72,-82.3333,normal,trending,open_test_drive
2026-03-02,bullish,ATM+2,61.8,61.9,0.16,-99.92,1,99.92,1.548,0.006,1,100,0,,0,-14.16,-87.5,0.0,8.85,-19.87,-122.8,-32.2,-199.0,normal,trending,open_test_drive
