Date,Breakout Type,Entry Time,Underlying Entry Price,OR High,OR Low,OR Width,Gap %,Inside Day,Outside Day,Relation PDH/PDL,Days To Expiry,Day Of Week,Max Continuation,Max Adverse,Sustained,Failed,ATR,ADX,RSI,VWAP Dist,ATM MFE %,ATM MAE %,ATM Peak Time,ATM Time To Peak Min,ATM Decay %,ATM Gamma Eff,ATM Expansion Quality Score,ATM Peak Exhaustion Score,ATM Expected Opportunity Score,ATM Time To 50%,ATM Time Above 50%,ATM Exit Hybrid Return %,ATM Exit Hybrid Capture Eff,ATM Exit Hybrid Retention Ratio,ATM Exit Hybrid Lost Profit,Volatility Regime,Trend Regime,Auction Archetype,Failure Reason
2025-07-14,bearish,2025-07-14 09:36:00 +0530,25047.45,25151.0996,25051.1992,99.90040000000226,0.0,false,false,inside,4,Monday,45.50080000000162,79.75,false,true,,,,,20.91,-28.0,2025-07-14 09:40:00 +0530,4,40.45,0.46,40,100,0,,0,-0.25,-0.0118,0.0,21.35,normal,mean_reverting,failed_auction,vwap_reclaimed
2025-07-15,bullish,2025-07-15 10:39:00 +0530,25153.15,25151.1504,25088.4492,62.70119999999952,0.0,false,false,inside,4,Tuesday,92.04919999999765,2.0,true,false,,,,,29.87,-25.0,2025-07-15 11:10:00 +0530,31,42.25,0.325,34,100,0,,0,3.85,0.129,0.129,24.3,normal,mean_reverting,open_auction,none
2025-07-16,bearish,2025-07-16 10:45:00 +0530,25127.1,25218.9492,25127.75,91.19919999999911,0.0,false,false,inside,4,Wednesday,6.049199999997654,128.20080000000235,false,true,,,,,72.69,-18.7,2025-07-16 12:47:00 +0530,122,52.92,12.016,29,100,68,1,4,31.24,0.4298,0.4298,19.5,normal,trending,opening_drive,vwap_reclaimed
2025-07-16,bullish,2025-07-16 12:48:00 +0530,25232.1,25218.9492,25127.75,91.19919999999911,0.0,false,false,inside,4,Wednesday,23.200800000002346,46.099999999998545,false,true,,,,,2.04,-40.3,2025-07-16 12:51:00 +0530,3,41.49,0.088,9,100,0,,0,-14.25,-7.0,0.0,12.0,normal,trending,opening_drive,vwap_reclaimed
2025-07-17,bearish,2025-07-17 09:32:00 +0530,25196.1,25238.3496,25197.75,40.599600000001374,0.0,false,false,inside,4,Thursday,95.09999999999854,14.350000000002183,true,false,,,,,63.15,-99.86,2025-07-17 11:11:00 +0530,99,99.91,0.664,32,100,0,98,0,10.4,0.1648,0.1648,18.25,normal,mean_reverting,open_auction,none
2025-07-18,bearish,2025-07-18 09:43:00 +0530,25056.2,25144.5996,25061.0996,83.5,0.0,false,false,inside,4,Friday,137.5496000000021,0.3499999999985448,true,false,,,,,24.66,-16.36,2025-07-18 11:00:00 +0530,77,32.9,0.179,33,100,0,,0,3.99,0.1617,0.1617,22.55,normal,trending,open_test_drive,none
2025-07-21,bearish,2025-07-21 09:34:00 +0530,24886.2,25037.1992,24894.5508,142.64839999999822,0.0,false,false,inside,4,Monday,3.7000000000007276,225.2003999999979,false,true,,,,,16.53,-33.25,2025-07-21 09:40:00 +0530,6,42.72,4.468,45,100,0,,0,-5.7,-0.3448,0.0,23.4,normal,mean_reverting,open_test_drive,vwap_reclaimed
2025-07-21,bullish,2025-07-21 12:01:00 +0530,25041.5,25037.1992,24894.5508,142.64839999999822,0.0,false,false,inside,4,Monday,69.90039999999863,53.400000000001455,true,false,,,,,20.32,-17.43,2025-07-21 12:30:00 +0530,29,31.38,0.291,37,100,0,,0,0.92,0.0451,0.0451,21.15,normal,mean_reverting,open_test_drive,none
2025-07-22,bearish,2025-07-22 09:36:00 +0530,25113.15,25182.0,25115.5996,66.40039999999863,0.0,false,false,inside,4,Tuesday,77.59920000000056,18.44999999999709,true,false,,,,,34.46,-23.05,2025-07-22 11:55:00 +0530,139,42.78,0.444,30,100,20,,0,21.36,0.6197,0.6197,8.5,normal,trending,open_test_drive,none
2025-07-23,bearish,2025-07-23 09:42:00 +0530,25101.85,25149.8496,25105.0508,44.79880000000048,0.0,false,false,inside,4,Wednesday,16.349999999998545,131.65000000000146,false,true,,,,,20.59,-36.97,2025-07-23 10:56:00 +0530,74,47.74,1.259,18,100,0,,0,6.89,0.3348,0.3348,7.65,normal,mean_reverting,open_test_drive,vwap_reclaimed
