Date,Breakout Type,Strike Label,Entry Price,Peak Price,MFE %,MAE %,Time To Peak Min,Decay %,Elasticity,Gamma Eff,Expansion Quality Score,Peak Exhaustion Score,Expected Opportunity Score,Time To 50%,Time Above 50%,Hybrid Return %,Hybrid Capture Eff,Hybrid Retention Ratio,Hybrid Lost Profit,Trail 20 Return %,Trail 20 Capture Eff,Momentum Return %,Momentum Capture Eff,Volatility Regime,Trend Regime,Auction Archetype
2026-02-20,bullish,ATM-2,727.55,756.8,4.02,-2.09,27,3.43,5.727,0.007,44,45,1,,0,2.73,0.6786,0.6786,9.4,2.73,0.6786,2.73,0.6786,normal,mean_reverting,open_test_drive
2026-02-20,bullish,ATM-1,665.8,695.7,4.49,-2.07,27,3.69,6.397,0.008,44,45,1,,0,2.82,0.6288,0.6288,11.1,2.82,0.6288,2.82,0.6288,normal,mean_reverting,open_test_drive
2026-02-20,bullish,ATM,605.5,634.85,4.85,-1.99,27,3.86,6.905,0.008,44,45,1,,0,2.56,0.5281,0.5281,13.85,2.56,0.5281,2.56,0.5281,normal,mean_reverting,open_test_drive
2026-02-20,bullish,ATM+1,551.4,578.75,4.96,-2.19,27,3.85,7.065,0.009,44,45,1,,0,2.99,0.6033,0.6033,10.85,2.99,0.6033,2.99,0.6033,normal,mean_reverting,open_test_drive
2026-02-20,bullish,ATM+2,499.0,526.25,5.46,-1.97,27,4.21,7.779,0.009,44,45,1,,0,3.02,0.5523,0.5523,12.2,3.02,0.5523,3.02,0.5523,normal,mean_reverting,open_test_drive
2026-02-23,bullish,ATM-2,640.85,677.0,5.64,-13.66,111,18.27,67271.903,80.585,41,100,0,,0,1.39,0.2462,0.2462,27.25,-2.63,-0.4661,4.06,0.7206,normal,mean_reverting,opening_drive
2026-02-23,bullish,ATM-1,579.65,613.4,5.82,-14.34,111,19.06,69436.806,83.178,41,100,0,,0,1.71,0.2933,0.2933,23.85,-3.12,-0.5363,4.49,0.7719,normal,mean_reverting,opening_drive
2026-02-23,bullish,ATM,522.35,552.4,5.75,-15.25,111,19.86,68606.407,82.184,40,100,0,,0,1.76,0.3062,0.3062,20.85,-3.91,-0.6805,4.43,0.7704,normal,mean_reverting,opening_drive
2026-02-23,bullish,ATM+1,470.15,497.45,5.81,-16.47,111,21.06,69248.123,82.952,40,100,0,,0,1.73,0.2985,0.2985,19.15,-15.35,-2.6443,4.53,0.7802,normal,mean_reverting,opening_drive
2026-02-23,bullish,ATM+2,421.45,445.0,5.59,-17.48,81,21.84,66638.721,79.826,39,100,0,,0,1.63,0.2909,0.2909,16.7,-15.53,-2.7792,4.29,0.7686,normal,mean_reverting,opening_drive
2026-02-25,bullish,ATM-2,476.05,476.05,0.0,-21.44,0,21.44,0.0,0.0,34,90,0,,0,-5.86,0.0,0.0,27.9,-20.0,0.0,-8.95,0.0,normal,mean_reverting,open_test_drive
2026-02-25,bullish,ATM-1,405.45,407.9,0.6,-23.02,74,23.49,3.397,0.004,33,90,0,,0,-4.69,-7.7551,0.0,21.45,-19.52,-32.298,-5.73,-9.4898,normal,mean_reverting,open_test_drive
2026-02-25,bullish,ATM,340.75,343.0,0.66,-25.09,74,25.58,3.712,0.004,32,100,0,,0,-6.41,-9.7111,0.0,24.1,-19.47,-29.4889,-5.47,-8.2889,normal,mean_reverting,open_test_drive
2026-02-25,bullish,ATM+1,283.2,284.25,0.37,-26.52,74,26.79,2.084,0.003,32,100,0,,0,-7.03,-18.9524,0.0,20.95,-19.7,-53.1429,-6.48,-17.4762,normal,mean_reverting,open_test_drive
2026-02-25,bullish,ATM+2,232.6,233.75,0.49,-28.46,74,28.81,2.779,0.003,31,100,0,,0,-7.57,-15.3043,0.0,18.75,-19.6,-39.6522,-6.84,-13.8261,normal,mean_reverting,open_test_drive
2026-03-02,bullish,ATM-2,820.15,821.4,0.15,-20.58,314,20.7,1.903,0.002,35,100,0,,0,-7.3,-47.92,0.0,61.15,-19.88,-130.424,-4.7,-30.84,normal,trending,open_auction
2026-03-02,bullish,ATM-1,752.35,756.55,0.56,-21.01,314,21.45,6.971,0.009,34,100,0,,0,-7.46,-13.3571,0.0,60.3,-19.55,-35.0262,-4.56,-8.1667,normal,trending,open_auction
2026-03-02,bullish,ATM,691.7,696.7,0.72,-22.28,314,22.84,9.027,0.011,34,100,0,,0,-8.26,-11.43,0.0,62.15,-19.42,-26.868,-4.87,-6.74,normal,trending,open_auction
2026-03-02,bullish,ATM+1,630.1,637.3,1.14,-22.55,314,23.43,14.269,0.018,34,100,0,,0,-8.3,-7.2639,0.0,59.5,-19.09,-16.7028,-4.86,-4.2569,normal,trending,open_auction
2026-03-02,bullish,ATM+2,573.15,580.0,1.2,-22.56,314,23.47,14.924,0.019,34,100,0,,0,-8.56,-7.1606,0.0,55.9,-19.04,-15.9343,-5.3,-4.4307,normal,trending,open_auction
2026-03-04,bullish,ATM-2,724.35,739.0,2.02,-7.6,28,9.43,2.725,0.003,41,75,0,,0,-6.07,-3.0,0.0,58.6,-6.83,-3.3788,-4.79,-2.3686,normal,mean_reverting,open_test_drive
2026-03-04,bullish,ATM-1,662.8,674.6,1.78,-8.37,28,9.97,2.399,0.003,40,75,0,,0,-6.33,-3.5551,0.0,53.75,-8.14,-4.572,-5.32,-2.9873,normal,mean_reverting,open_test_drive
2026-03-04,bullish,ATM,602.25,614.4,2.02,-9.1,28,10.9,2.718,0.003,40,75,0,,0,-6.6,-3.2716,0.0,51.9,-8.19,-4.0617,-5.52,-2.7366,normal,mean_reverting,open_test_drive
2026-03-04,bullish,ATM+1,545.6,557.1,2.11,-9.64,28,11.51,2.84,0.004,40,75,0,,0,-7.14,-3.387,0.0,50.45,-9.38,-4.4478,-5.76,-2.7304,normal,mean_reverting,open_test_drive
2026-03-04,bullish,ATM+2,491.6,505.0,2.73,-10.48,28,12.85,3.673,0.005,39,75,0,,0,-6.81,-2.5,0.0,46.9,-9.27,-3.3993,-5.69,-2.0858,normal,mean_reverting,open_test_drive
2026-03-05,bearish,ATM-2,188.6,197.15,4.53,-87.67,4,88.21,65.15,0.082,28,100,0,,0,-33.78,-7.4503,0.0,72.25,-16.37,-3.6117,-26.94,-5.9415,normal,mean_reverting,open_test_drive
2026-03-05,bearish,ATM-1,227.25,234.95,3.39,-80.81,4,81.44,48.694,0.061,26,100,0,,0,-30.23,-8.9221,0.0,76.4,-17.29,-5.1026,-24.0,-7.0844,normal,mean_reverting,open_test_drive
2026-03-05,bearish,ATM,274.35,282.6,3.01,-72.64,4,73.44,43.216,0.055,25,100,0,,0,-27.81,-9.2485,0.0,84.55,-17.59,-5.8509,-21.63,-7.1939,normal,mean_reverting,open_test_drive
2026-03-05,bearish,ATM+1,327.05,346.25,5.87,-62.05,57,64.16,84.368,0.106,22,100,0,,0,-24.71,-4.2083,0.0,100.0,-17.42,-2.9672,-19.28,-3.2839,normal,mean_reverting,open_test_drive
2026-03-05,bearish,ATM+2,386.55,410.5,6.2,-50.96,57,53.82,89.041,0.112,22,100,0,,0,-21.85,-3.5261,0.0,108.4,-18.33,-2.9591,-16.91,-2.7286,normal,mean_reverting,open_test_drive
2026-03-06,bearish,ATM-2,745.4,780.4,4.7,-8.07,167,7.74,6.057,0.008,41,75,0,,0,-2.94,-0.6271,0.0,56.95,-2.42,-0.5157,-2.94,-0.6271,normal,mean_reverting,open_test_drive
