Strike,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL,Return %,Status
ATM_CALL,2024-01-01 12:18:00,2024-01-01 12:49:00,162.52,195.02,153,4945.76,19.89,WIN
ATM_CALL,2024-01-01 12:50:00,2024-01-01 13:24:00,198.32,237.98,126,4970.18,19.89,WIN
ATM_CALL,2024-01-01 13:25:00,2024-01-01 14:07:00,240.91,289.09,104,4983.37,19.89,WIN
ATM_CALL,2024-01-01 14:08:00,2024-01-01 15:12:00,289.19,347.03,87,5004.23,19.89,WIN
ATM_CALL,2024-01-01 15:13:00,2024-01-01 15:29:00,349.39,365.58,72,1139.94,4.53,WIN
ATM+1_CALL,2024-01-01 12:10:00,2024-01-01 12:29:00,148.45,178.14,168,4960.49,19.89,WIN
ATM+1_CALL,2024-01-01 12:34:00,2024-01-01 13:26:00,185.58,222.7,135,4983.1,19.89,WIN
ATM+1_CALL,2024-01-01 13:27:00,2024-01-01 14:05:00,225.23,270.28,112,5017.4,19.89,WIN
ATM+1_CALL,2024-01-01 14:08:00,2024-01-01 14:58:00,271.27,325.52,93,5017.87,19.89,WIN
ATM+1_CALL,2024-01-01 14:59:00,2024-01-01 15:29:00,326.32,345.78,78,1491.67,5.86,WIN
ATM-1_CALL,2024-01-01 11:58:00,2024-01-01 12:39:00,189.8,227.76,131,4945.41,19.89,WIN
ATM-1_CALL,2024-01-01 12:40:00,2024-01-01 13:23:00,230.25,276.3,109,4991.84,19.89,WIN
ATM-1_CALL,2024-01-01 13:26:00,2024-01-01 14:41:00,283.09,339.71,89,5011.29,19.89,WIN
ATM-1_CALL,2024-01-01 14:42:00,2024-01-01 15:29:00,338.42,382.73,74,3252.26,12.99,WIN
