Strike,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL,Return %,Status
ATM_CALL,2025-06-10 09:20:00,2025-06-10 09:21:00,135.25,133.22,184,-397.99,-1.6,LOSS
ATM_CALL,2025-06-10 09:25:00,2025-06-10 09:27:00,103.2,101.65,242,-399.4,-1.6,LOSS
ATM_CALL,2025-06-10 10:05:00,2025-06-10 10:10:00,109.0,107.37,229,-399.19,-1.6,LOSS
ATM_CALL,2025-06-10 10:15:00,2025-06-10 10:16:00,111.2,109.53,224,-398.35,-1.6,LOSS
ATM_CALL,2025-06-11 11:20:00,2025-06-11 11:25:00,74.75,73.63,333,-398.08,-1.6,LOSS
ATM_CALL,2025-06-11 11:55:00,2025-06-11 11:56:00,93.85,92.44,265,-397.74,-1.6,LOSS
ATM_CALL,2025-06-12 09:20:00,2025-06-12 09:21:00,54.15,53.34,460,-398.36,-1.6,LOSS
ATM_CALL,2025-06-12 09:25:00,2025-06-12 09:26:00,43.2,51.84,577,4957.86,19.89,WIN
ATM_CALL,2025-06-12 09:30:00,2025-06-12 09:31:00,57.7,56.83,434,-400.48,-1.6,LOSS
ATM_CALL,2025-06-12 09:35:00,2025-06-12 09:36:00,51.6,50.83,485,-400.23,-1.6,LOSS
ATM_CALL,2025-06-13 12:20:00,2025-06-13 12:21:00,198.2,195.23,126,-399.38,-1.6,LOSS
ATM_CALL,2025-06-13 13:40:00,2025-06-13 13:44:00,161.5,159.08,154,-397.75,-1.6,LOSS
ATM_CALL,2025-06-13 13:45:00,2025-06-13 13:51:00,163.8,161.34,152,-398.17,-1.6,LOSS
ATM_CALL,2025-06-16 09:20:00,2025-06-16 09:29:00,141.9,139.77,176,-399.4,-1.6,LOSS
ATM_CALL,2025-06-16 10:30:00,2025-06-16 10:42:00,138.2,165.84,180,4947.84,19.89,WIN
ATM_CALL,2025-06-16 10:45:00,2025-06-16 10:49:00,143.5,172.2,175,4994.88,19.89,WIN
ATM_CALL,2025-06-16 12:35:00,2025-06-16 12:37:00,148.65,146.42,169,-401.76,-1.6,LOSS
ATM_CALL,2025-06-16 12:40:00,2025-06-16 12:41:00,157.5,155.14,160,-403.01,-1.6,LOSS
ATM_CALL,2025-06-16 14:10:00,2025-06-16 14:11:00,154.5,152.18,163,-402.75,-1.6,LOSS
ATM_CALL,2025-06-16 14:15:00,2025-06-16 14:16:00,153.75,151.44,163,-400.79,-1.6,LOSS
ATM_CALL,2025-06-18 09:25:00,2025-06-18 09:31:00,87.25,104.7,288,4997.96,19.89,WIN
ATM_CALL,2025-06-18 09:35:00,2025-06-18 09:45:00,82.3,98.76,307,5025.43,19.89,WIN
ATM_CALL,2025-06-19 14:00:00,2025-06-19 14:01:00,7.55,9.06,3371,5062.21,19.89,WIN
ATM_CALL,2025-06-19 14:05:00,2025-06-19 14:06:00,8.8,8.67,2906,-408.97,-1.6,LOSS
ATM_CALL,2025-06-19 14:10:00,2025-06-19 14:11:00,7.0,6.9,3652,-408.83,-1.6,LOSS
ATM_CALL,2025-06-19 14:15:00,2025-06-19 14:16:00,7.7,7.58,3319,-408.71,-1.6,LOSS
ATM_CALL,2025-06-19 14:20:00,2025-06-19 14:21:00,8.85,8.72,2886,-408.47,-1.6,LOSS
ATM_CALL,2025-06-20 09:45:00,2025-06-20 09:51:00,155.85,187.02,163,5052.77,19.89,WIN
ATM_CALL,2025-06-20 10:20:00,2025-06-20 10:22:00,191.2,188.33,134,-409.74,-1.6,LOSS
ATM_CALL,2025-06-20 10:25:00,2025-06-20 10:30:00,174.1,208.92,147,5090.39,19.89,WIN
ATM_CALL,2025-06-20 10:35:00,2025-06-20 10:36:00,213.15,209.95,120,-409.06,-1.6,LOSS
ATM_CALL,2025-06-20 13:20:00,2025-06-20 13:21:00,208.0,204.88,123,-409.15,-1.6,LOSS
ATM_CALL,2025-06-20 15:05:00,2025-06-20 15:10:00,163.95,161.49,157,-411.65,-1.6,LOSS
ATM_CALL,2025-06-20 15:15:00,2025-06-20 15:16:00,167.75,165.23,153,-410.46,-1.6,LOSS
ATM_CALL,2025-06-20 15:20:00,2025-06-20 15:27:00,135.6,133.57,189,-409.86,-1.6,LOSS
ATM_CALL,2025-06-23 13:20:00,2025-06-23 13:21:00,131.55,157.86,195,5102.23,19.89,WIN
ATM_CALL,2025-06-23 13:25:00,2025-06-23 13:26:00,135.75,162.9,190,5130.13,19.89,WIN
ATM_CALL,2025-06-23 13:30:00,2025-06-23 13:33:00,135.75,133.71,191,-414.66,-1.6,LOSS
ATM_CALL,2025-06-23 13:35:00,2025-06-23 13:36:00,135.45,162.54,191,5145.73,19.89,WIN
ATM_CALL,2025-06-24 09:20:00,2025-06-24 09:22:00,118.95,117.17,219,-416.61,-1.6,LOSS
ATM_CALL,2025-06-24 09:25:00,2025-06-24 09:26:00,142.75,140.61,182,-415.49,-1.6,LOSS
ATM_CALL,2025-06-24 09:30:00,2025-06-24 09:31:00,124.2,122.34,210,-417.12,-1.6,LOSS
ATM_CALL,2025-06-24 11:30:00,2025-06-24 11:31:00,123.2,147.84,211,5170.45,19.89,WIN
ATM_CALL,2025-06-25 09:20:00,2025-06-25 09:21:00,103.85,102.29,252,-418.53,-1.6,LOSS
ATM_CALL,2025-06-25 09:25:00,2025-06-25 09:26:00,70.35,84.42,372,5205.25,19.89,WIN
ATM_CALL,2025-06-25 09:30:00,2025-06-25 09:32:00,98.95,97.47,266,-420.93,-1.6,LOSS
ATM_CALL,2025-06-25 09:35:00,2025-06-25 09:36:00,111.95,110.27,235,-420.73,-1.6,LOSS
ATM_CALL,2025-06-25 13:15:00,2025-06-25 13:16:00,84.4,83.13,311,-419.78,-1.6,LOSS
ATM_CALL,2025-06-25 13:25:00,2025-06-25 13:27:00,90.95,89.59,289,-420.36,-1.6,LOSS
ATM_CALL,2025-06-25 13:30:00,2025-06-25 13:31:00,100.95,99.44,260,-419.76,-1.6,LOSS
ATM_CALL,2025-06-26 09:20:00,2025-06-26 09:21:00,51.75,62.1,507,5218.59,19.89,WIN
ATM_CALL,2025-06-26 09:25:00,2025-06-26 09:26:00,61.45,60.53,429,-421.6,-1.6,LOSS
ATM_CALL,2025-06-26 09:30:00,2025-06-26 09:31:00,71.95,86.34,366,5237.77,19.89,WIN
ATM_CALL,2025-06-26 09:35:00,2025-06-26 09:36:00,95.7,94.26,277,-423.94,-1.6,LOSS
ATM_CALL,2025-06-26 12:05:00,2025-06-26 12:09:00,63.25,62.3,419,-423.83,-1.6,LOSS
ATM_CALL,2025-06-26 12:15:00,2025-06-26 12:17:00,65.45,64.47,404,-422.87,-1.6,LOSS
ATM_CALL,2025-06-26 13:45:00,2025-06-26 13:46:00,65.1,78.12,406,5257.05,19.89,WIN
ATM_CALL,2025-06-26 13:50:00,2025-06-26 13:52:00,65.95,79.14,403,5286.33,19.89,WIN
ATM_CALL,2025-06-26 13:55:00,2025-06-26 13:56:00,49.0,58.8,545,5311.62,19.89,WIN
ATM_CALL,2025-06-26 14:00:00,2025-06-26 14:01:00,59.8,58.9,449,-429.4,-1.6,LOSS
ATM_CALL,2025-06-26 14:05:00,2025-06-26 14:06:00,58.8,57.92,457,-429.74,-1.6,LOSS
ATM_CALL,2025-06-27 09:20:00,2025-06-27 09:21:00,172.95,170.36,155,-428.71,-1.6,LOSS
ATM_CALL,2025-06-27 11:00:00,2025-06-27 11:01:00,161.8,159.37,165,-426.95,-1.6,LOSS
ATM_CALL,2025-06-27 12:20:00,2025-06-27 12:21:00,151.15,148.88,177,-427.86,-1.6,LOSS
ATM_CALL,2025-06-27 12:30:00,2025-06-27 12:35:00,147.9,145.68,181,-428.12,-1.6,LOSS
ATM_CALL,2025-06-27 12:40:00,2025-06-27 12:45:00,152.45,150.16,175,-426.66,-1.6,LOSS
ATM_CALL,2025-06-27 12:55:00,2025-06-27 12:59:00,158.25,155.88,169,-427.71,-1.6,LOSS
ATM_CALL,2025-06-27 15:05:00,2025-06-27 15:07:00,144.2,142.04,185,-426.63,-1.6,LOSS
ATM_CALL,2025-06-27 15:20:00,2025-06-27 15:27:00,143.8,141.64,186,-427.75,-1.6,LOSS
ATM_CALL,2025-06-30 12:15:00,2025-06-30 12:27:00,129.6,127.66,206,-426.96,-1.6,LOSS
ATM_CALL,2025-06-30 15:10:00,2025-06-30 15:11:00,141.7,139.57,188,-426.03,-1.6,LOSS
ATM_CALL,2025-06-30 15:15:00,2025-06-30 15:16:00,119.2,143.04,224,5310.79,19.89,WIN
ATM_CALL,2025-07-01 09:20:00,2025-07-01 09:24:00,118.95,117.17,226,-429.92,-1.6,LOSS
ATM_CALL,2025-07-01 09:25:00,2025-07-01 09:26:00,122.6,120.76,219,-429.39,-1.6,LOSS
ATM_CALL,2025-07-01 09:30:00,2025-07-01 09:31:00,102.65,101.11,261,-428.47,-1.6,LOSS
ATM_CALL,2025-07-01 09:35:00,2025-07-01 09:36:00,105.2,103.62,255,-429.01,-1.6,LOSS
ATM_CALL,2025-07-01 09:40:00,2025-07-01 09:41:00,105.95,104.36,253,-428.68,-1.6,LOSS
ATM_CALL,2025-07-01 12:25:00,2025-07-01 12:32:00,101.8,100.27,263,-428.17,-1.6,LOSS
ATM_CALL,2025-07-01 14:15:00,2025-07-01 14:16:00,105.85,104.26,253,-428.28,-1.6,LOSS
ATM_CALL,2025-07-02 09:20:00,2025-07-02 09:21:00,80.05,78.85,334,-427.59,-1.6,LOSS
ATM_CALL,2025-07-02 09:25:00,2025-07-02 09:26:00,77.0,92.4,348,5329.72,19.89,WIN
ATM_CALL,2025-07-02 15:00:00,2025-07-02 15:01:00,69.0,67.97,390,-430.36,-1.6,LOSS
ATM_CALL,2025-07-02 15:05:00,2025-07-02 15:06:00,76.1,74.96,353,-429.61,-1.6,LOSS
ATM_CALL,2025-07-02 15:10:00,2025-07-02 15:11:00,76.8,75.65,350,-429.88,-1.6,LOSS
ATM_CALL,2025-07-02 15:15:00,2025-07-02 15:16:00,70.15,69.1,383,-429.68,-1.6,LOSS
ATM_CALL,2025-07-03 09:20:00,2025-07-03 09:21:00,41.6,49.92,646,5345.16,19.89,WIN
ATM_CALL,2025-07-03 13:40:00,2025-07-03 13:41:00,36.8,36.25,734,-431.98,-1.6,LOSS
ATM_CALL,2025-07-03 13:45:00,2025-07-03 13:46:00,63.75,62.79,423,-431.26,-1.6,LOSS
ATM_CALL,2025-07-04 14:00:00,2025-07-04 14:01:00,136.0,133.96,198,-430.65,-1.6,LOSS
ATM_CALL,2025-07-04 14:35:00,2025-07-04 14:36:00,140.4,138.29,192,-431.11,-1.6,LOSS
ATM_CALL,2025-07-04 14:40:00,2025-07-07 09:15:00,138.9,136.82,194,-430.94,-1.6,LOSS
ATM+1_CALL,2025-06-10 09:20:00,2025-06-10 09:21:00,109.3,107.66,228,-398.54,-1.6,LOSS
ATM+1_CALL,2025-06-10 09:25:00,2025-06-10 09:27:00,80.65,79.44,309,-398.55,-1.6,LOSS
