Strike,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL,Return %,Status
ATM_CALL,2026-03-02 13:15:00,2026-03-02 13:16:00,42.45,41.81,588,-399.18,-1.6,LOSS
ATM_CALL,2026-03-02 13:20:00,2026-03-02 13:21:00,40.1,39.5,623,-399.53,-1.6,LOSS
ATM_CALL,2026-03-02 13:25:00,2026-03-02 13:26:00,39.25,38.66,636,-399.22,-1.6,LOSS
ATM_CALL,2026-03-02 13:30:00,2026-03-02 13:31:00,31.0,30.54,805,-399.09,-1.6,LOSS
ATM_CALL,2026-03-02 13:35:00,2026-03-02 13:38:00,28.05,27.63,889,-398.8,-1.6,LOSS
ATM_CALL,2026-03-02 13:40:00,2026-03-02 13:41:00,49.9,49.15,500,-399.01,-1.6,LOSS
ATM_CALL,2026-03-02 13:45:00,2026-03-02 13:46:00,47.65,46.94,523,-398.55,-1.6,LOSS
ATM_CALL,2026-03-02 13:50:00,2026-03-02 13:51:00,39.85,39.25,625,-398.31,-1.6,LOSS
ATM_CALL,2026-03-02 13:55:00,2026-03-02 13:56:00,59.7,58.8,417,-398.13,-1.6,LOSS
ATM_CALL,2026-03-04 12:20:00,2026-03-04 12:43:00,301.9,297.37,82,-395.91,-1.6,LOSS
ATM+1_CALL,2026-03-02 13:15:00,2026-03-02 13:16:00,23.65,23.3,1057,-399.78,-1.6,LOSS
ATM+1_CALL,2026-03-02 13:20:00,2026-03-02 13:21:00,21.5,21.18,1162,-399.54,-1.6,LOSS
ATM+1_CALL,2026-03-02 13:25:00,2026-03-02 13:26:00,20.95,20.64,1192,-399.37,-1.6,LOSS
ATM+1_CALL,2026-03-02 13:30:00,2026-03-02 13:31:00,15.2,14.97,1642,-399.15,-1.6,LOSS
ATM+1_CALL,2026-03-02 13:35:00,2026-03-02 13:36:00,13.2,13.0,1890,-398.98,-1.6,LOSS
ATM+1_CALL,2026-03-02 13:40:00,2026-03-02 13:41:00,26.5,26.1,941,-398.8,-1.6,LOSS
ATM+1_CALL,2026-03-02 13:45:00,2026-03-02 13:46:00,24.9,24.53,1001,-398.61,-1.6,LOSS
ATM+1_CALL,2026-03-02 13:50:00,2026-03-02 13:51:00,20.0,19.7,1246,-398.53,-1.6,LOSS
ATM+1_CALL,2026-03-02 13:55:00,2026-03-02 13:56:00,31.85,31.37,782,-398.32,-1.6,LOSS
ATM+1_CALL,2026-03-04 12:20:00,2026-03-04 12:43:00,273.55,269.45,91,-398.1,-1.6,LOSS
ATM-1_CALL,2026-03-02 13:15:00,2026-03-02 13:16:00,69.3,68.26,360,-398.98,-1.6,LOSS
ATM-1_CALL,2026-03-02 13:20:00,2026-03-02 13:21:00,67.2,66.19,371,-398.71,-1.6,LOSS
ATM-1_CALL,2026-03-02 13:25:00,2026-03-02 13:26:00,66.45,65.45,375,-398.51,-1.6,LOSS
ATM-1_CALL,2026-03-02 13:30:00,2026-03-02 13:31:00,56.2,55.36,444,-399.06,-1.6,LOSS
ATM-1_CALL,2026-03-02 13:35:00,2026-03-02 13:38:00,52.1,51.32,479,-399.11,-1.6,LOSS
ATM-1_CALL,2026-03-02 13:40:00,2026-03-02 13:41:00,82.4,81.16,302,-397.97,-1.6,LOSS
ATM-1_CALL,2026-03-02 13:45:00,2026-03-02 13:46:00,80.6,79.39,309,-398.3,-1.6,LOSS
ATM-1_CALL,2026-03-02 13:50:00,2026-03-02 13:51:00,70.45,69.39,353,-397.72,-1.6,LOSS
ATM-1_CALL,2026-03-02 13:55:00,2026-03-02 13:56:00,94.95,93.53,262,-397.84,-1.6,LOSS
ATM-1_CALL,2026-03-04 12:20:00,2026-03-04 12:43:00,331.05,326.08,75,-397.07,-1.6,LOSS
