Strike,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL,Return %,Status
ATM_CALL,2026-02-06 11:35:00,2026-02-06 11:36:00,482.4,475.16,51,-393.45,-1.6,LOSS
ATM_CALL,2026-02-06 11:40:00,2026-02-06 11:51:00,478.0,470.83,52,-397.51,-1.6,LOSS
ATM_CALL,2026-02-06 11:55:00,2026-02-06 11:57:00,463.75,456.79,53,-393.08,-1.6,LOSS
ATM_CALL,2026-02-06 12:00:00,2026-02-06 12:03:00,477.65,470.49,52,-397.22,-1.6,LOSS
ATM_CALL,2026-02-06 12:05:00,2026-02-06 12:06:00,514.55,506.83,48,-394.99,-1.6,LOSS
ATM_CALL,2026-02-06 12:10:00,2026-02-06 12:12:00,467.95,460.93,53,-396.64,-1.6,LOSS
ATM_CALL,2026-02-06 12:15:00,2026-02-06 12:16:00,494.85,487.43,50,-395.69,-1.6,LOSS
ATM_CALL,2026-02-06 12:20:00,2026-02-06 12:25:00,471.5,464.43,52,-392.1,-1.6,LOSS
ATM_CALL,2026-02-06 12:30:00,2026-02-06 12:31:00,528.3,520.38,47,-397.1,-1.6,LOSS
ATM_CALL,2026-02-06 12:35:00,2026-02-06 12:45:00,476.15,469.01,52,-395.97,-1.6,LOSS
ATM_CALL,2026-02-06 12:50:00,2026-02-06 12:55:00,472.35,465.26,52,-392.81,-1.6,LOSS
ATM_CALL,2026-02-06 13:00:00,2026-02-06 13:01:00,503.3,495.75,49,-394.4,-1.6,LOSS
ATM_CALL,2026-02-06 13:50:00,2026-02-06 13:59:00,447.7,440.98,55,-393.79,-1.6,LOSS
ATM_CALL,2026-02-06 14:00:00,2026-02-06 14:19:00,448.65,441.92,55,-394.63,-1.6,LOSS
ATM_CALL,2026-02-06 14:20:00,2026-02-06 14:34:00,449.15,442.41,55,-395.07,-1.6,LOSS
ATM_CALL,2026-02-06 14:35:00,2026-02-06 14:44:00,455.3,448.47,54,-393.19,-1.6,LOSS
ATM_CALL,2026-02-06 14:45:00,2026-02-06 15:07:00,449.8,443.05,55,-395.64,-1.6,LOSS
ATM_CALL,2026-02-06 15:10:00,2026-02-06 15:15:00,422.0,415.67,58,-391.43,-1.6,LOSS
ATM_CALL,2026-02-06 15:20:00,2026-02-09 09:15:00,412.5,406.31,60,-395.81,-1.6,LOSS
ATM_CALL,2026-02-09 09:20:00,2026-02-09 09:21:00,434.95,428.43,57,-396.49,-1.6,LOSS
ATM_CALL,2026-02-09 09:25:00,2026-02-09 09:26:00,435.8,429.26,56,-390.29,-1.6,LOSS
ATM_CALL,2026-02-09 09:30:00,2026-02-09 09:31:00,435.3,428.77,56,-389.85,-1.6,LOSS
ATM_CALL,2026-02-09 09:35:00,2026-02-09 09:36:00,469.45,462.41,52,-390.4,-1.6,LOSS
ATM_CALL,2026-02-09 09:40:00,2026-02-09 09:47:00,436.1,429.56,56,-390.56,-1.6,LOSS
ATM_CALL,2026-02-09 09:50:00,2026-02-09 09:52:00,406.1,400.01,60,-389.67,-1.6,LOSS
ATM_CALL,2026-02-09 09:55:00,2026-02-09 09:56:00,402.0,395.97,61,-392.17,-1.6,LOSS
ATM_CALL,2026-02-09 10:00:00,2026-02-09 10:06:00,410.5,404.34,60,-393.9,-1.6,LOSS
ATM_CALL,2026-02-09 10:10:00,2026-02-09 10:11:00,452.9,446.11,54,-391.12,-1.6,LOSS
ATM_CALL,2026-02-09 10:15:00,2026-02-09 10:19:00,436.95,430.4,56,-391.32,-1.6,LOSS
ATM_CALL,2026-02-09 10:20:00,2026-02-09 10:24:00,402.1,396.07,61,-392.27,-1.6,LOSS
ATM_CALL,2026-02-09 10:25:00,2026-02-09 10:45:00,402.0,395.97,61,-392.17,-1.6,LOSS
ATM_CALL,2026-02-09 10:50:00,2026-02-09 12:13:00,377.05,371.39,65,-391.95,-1.6,LOSS
ATM_CALL,2026-02-09 12:15:00,2026-02-09 12:16:00,429.75,423.3,57,-391.75,-1.6,LOSS
ATM_CALL,2026-02-09 12:20:00,2026-02-09 12:52:00,367.1,440.52,67,4892.08,19.89,WIN
ATM_CALL,2026-02-09 12:55:00,2026-02-09 12:57:00,418.6,412.32,59,-394.97,-1.6,LOSS
ATM_CALL,2026-02-09 13:00:00,2026-02-09 13:29:00,387.9,382.08,63,-390.82,-1.6,LOSS
ATM_CALL,2026-02-09 13:30:00,2026-02-09 14:23:00,378.3,372.63,65,-393.25,-1.6,LOSS
ATM_CALL,2026-02-09 14:25:00,2026-02-09 14:27:00,408.4,402.27,60,-391.88,-1.6,LOSS
ATM_CALL,2026-02-09 14:30:00,2026-02-09 14:31:00,406.85,400.75,60,-390.39,-1.6,LOSS
ATM_CALL,2026-02-09 14:35:00,2026-02-09 14:36:00,399.55,393.56,61,-389.78,-1.6,LOSS
ATM_CALL,2026-02-09 14:40:00,2026-02-09 14:41:00,390.6,384.74,63,-393.54,-1.6,LOSS
ATM_CALL,2026-02-09 14:45:00,2026-02-09 14:53:00,389.0,383.17,63,-391.93,-1.6,LOSS
ATM_CALL,2026-02-09 14:55:00,2026-02-09 15:01:00,395.0,389.08,62,-391.66,-1.6,LOSS
ATM_CALL,2026-02-09 15:05:00,2026-02-09 15:11:00,365.45,359.97,67,-391.58,-1.6,LOSS
ATM_CALL,2026-02-09 15:15:00,2026-02-09 15:16:00,361.0,355.59,68,-392.58,-1.6,LOSS
ATM_CALL,2026-02-09 15:20:00,2026-02-09 15:21:00,362.4,356.96,68,-394.11,-1.6,LOSS
ATM_CALL,2026-02-09 15:25:00,2026-02-09 15:26:00,401.15,395.13,61,-391.34,-1.6,LOSS
ATM_CALL,2026-02-10 09:15:00,2026-02-10 09:16:00,349.95,344.7,70,-391.76,-1.6,LOSS
ATM_CALL,2026-02-10 09:20:00,2026-02-10 09:21:00,354.1,348.79,69,-390.74,-1.6,LOSS
ATM_CALL,2026-02-10 09:25:00,2026-02-10 09:26:00,340.75,335.64,72,-392.36,-1.6,LOSS
ATM_CALL,2026-02-10 09:30:00,2026-02-10 09:49:00,305.1,366.12,80,4854.75,19.89,WIN
ATM_CALL,2026-02-10 09:50:00,2026-02-10 09:51:00,355.0,349.68,69,-391.74,-1.6,LOSS
ATM_CALL,2026-02-10 09:55:00,2026-02-10 10:00:00,329.15,324.21,75,-394.79,-1.6,LOSS
ATM_CALL,2026-02-10 10:05:00,2026-02-10 10:09:00,310.9,306.24,79,-392.79,-1.6,LOSS
ATM_CALL,2026-02-10 10:10:00,2026-02-10 10:11:00,360.0,354.6,68,-391.5,-1.6,LOSS
ATM_CALL,2026-02-10 10:15:00,2026-02-10 11:37:00,294.35,353.22,83,4859.34,19.89,WIN
ATM_CALL,2026-02-10 11:40:00,2026-02-10 11:42:00,303.15,298.6,81,-392.7,-1.6,LOSS
