Strike,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL,Return %,Status
ATM_CALL,2024-01-03 12:41:00,2024-01-03 12:44:00,67.9,66.88,368,-399.61,-1.6,LOSS
ATM_CALL,2024-01-04 14:22:00,2024-01-04 14:24:00,6.85,6.75,3648,-399.63,-1.6,LOSS
ATM_CALL,2024-01-04 14:27:00,2024-01-04 14:29:00,5.0,6.0,4996,4968.52,19.89,WIN
ATM_CALL,2024-01-04 14:32:00,2024-01-04 14:35:00,4.9,4.83,5123,-401.45,-1.6,LOSS
ATM_CALL,2024-01-04 14:36:00,2024-01-04 14:42:00,5.25,6.3,4779,4990.35,19.89,WIN
ATM_CALL,2024-01-04 15:05:00,2024-01-04 15:07:00,3.4,3.35,7417,-403.3,-1.6,LOSS
ATM_CALL,2024-01-04 15:26:00,2024-01-05 09:15:00,0.05,0.06,504177,5014.04,19.89,WIN
ATM_CALL,2024-01-05 09:16:00,2024-01-05 09:18:00,121.75,119.92,208,-404.99,-1.6,LOSS
ATM_CALL,2024-01-05 10:33:00,2024-01-05 10:42:00,116.85,115.1,216,-403.64,-1.6,LOSS
ATM_CALL,2024-01-05 12:02:00,2024-01-05 12:58:00,118.3,116.53,213,-402.98,-1.6,LOSS
ATM_CALL,2024-01-10 10:34:00,2024-01-10 10:41:00,70.5,69.44,358,-403.63,-1.6,LOSS
ATM_CALL,2024-01-10 10:43:00,2024-01-10 10:46:00,67.25,66.24,376,-404.39,-1.6,LOSS
ATM_CALL,2024-01-11 09:29:00,2024-01-11 09:31:00,38.6,38.02,655,-404.34,-1.6,LOSS
ATM_CALL,2024-01-11 09:34:00,2024-01-11 09:36:00,36.55,36.0,691,-403.91,-1.6,LOSS
ATM_CALL,2024-01-11 09:38:00,2024-01-11 09:40:00,32.25,31.77,783,-403.84,-1.6,LOSS
ATM_CALL,2024-01-11 09:41:00,2024-01-11 09:43:00,26.1,25.71,967,-403.63,-1.6,LOSS
ATM_CALL,2024-01-11 09:44:00,2024-01-11 09:46:00,27.85,27.43,906,-403.52,-1.6,LOSS
ATM_CALL,2024-01-11 09:49:00,2024-01-11 09:53:00,25.25,24.87,999,-403.41,-1.6,LOSS
ATM_CALL,2024-01-11 14:45:00,2024-01-11 14:48:00,5.45,6.54,4628,5016.78,19.89,WIN
